item_id,category,title,scientific_basis,keywords,related_data_fields,warning_indicators,adaptive_actions
KNOW_42e73caf,湿度 - 温度联合预警模型,温湿度指数的热浪防护阈值设定,温湿度指数（THI）=0.81×Present_Tmax + 0.01×LDAPS_RHmin×(0.99×Present_Tmax - 14.3) + 46.3，THI≥86 时人体舒适度显著下降，热应激风险升高,"温度联合预警模型, 危险, 不适时减少室内外温差, 应对措施, 类别, THI, 温湿度指数的热浪防护阈值设定, LDAPS_RHmin, 温湿度指数, 预警指标, 不适, 危险时避免长时间停留户外, Present_Tmax, 热应激风险升高, 标题, 极端危险时需在专业降温环境中活动, 时人体舒适度显著下降, 极端危险, 科学依据, 湿度","Present_Tmax, LDAPS_RHmin",THI≥86（不适）；THI≥92（危险）；THI≥98（极端危险）,不适时减少室内外温差；危险时避免长时间停留户外；极端危险时需在专业降温环境中活动
KNOW_120c9199,城市热岛与风速的交互影响,城市热岛区域风速对热浪的缓解作用,urban_heat_island 区域因建筑密集导致通风不畅，LDAPS_WS≥3m/s 时可有效改善城市局部微气候，降低热岛强度 1-2℃，缓解热浪叠加效应,"LDAPS_WS, 在城市通风廊道关键节点拆除临时遮挡物, 时可有效改善城市局部微气候, 辅助降温, 应对措施, 类别, 降低热岛强度, 预警指标, 2℃, 城市热岛区域风速对热浪的缓解作用, 缓解不足, Present_Tmax, 标签激活, 城市热岛与风速的交互影响, 标题, 通过人工通风设备增强局部空气流通, 35℃, 科学依据, 缓解热浪叠加效应, 区域因建筑密集导致通风不畅","urban_heat_island, LDAPS_WS, Present_Tmax",urban_heat_island 标签激活 + Present_Tmax≥35℃+LDAPS_WS≤1.5m/s（缓解不足）,在城市通风廊道关键节点拆除临时遮挡物，通过人工通风设备增强局部空气流通，辅助降温
KNOW_6f14bd81,热浪期间农业防护,基于经纬度与高温数据的农业热浪防护,不同 lat/lon 对应的农作物类型与生育期不同，Next_Tmax≥38℃时，喜凉作物（如小麦、马铃薯）易发生热害，需针对性采取防护措施,"需针对性采取防护措施, 覆盖遮阳网等措施, 对应的农作物类型与生育期不同, 不同, 易发生热害, 热浪期间农业防护, 38℃, 提前采收接近成熟的作物, 应对措施, 指导农户采取灌溉降温, 如小麦, 类别, 识别喜凉作物种植集中区域, 预测持续天数, 预警指标, 喜凉作物, 通过, 标题, 马铃薯, 减少热害损失, 科学依据, 基于经纬度与高温数据的农业热浪防护, Next_Tmax","Next_Tmax, lat, lon",Next_Tmax≥38℃+ 预测持续天数≥2 天；通过 lat/lon 识别喜凉作物种植集中区域,指导农户采取灌溉降温、覆盖遮阳网等措施，提前采收接近成熟的作物，减少热害损失
KNOW_81ff6b67,高海拔高温灾害预判,高海拔区域热浪的灾害链预警,DEM≥2000 米区域热浪期间，高温易导致冰川、积雪融化加速，可能引发山区洪水、泥石流等次生灾害，需联动监测,"组织开展隐患点排查与转移避险准备, 高温易导致冰川, 需联动监测, DEM, 应对措施, 向沿线居民发布次生灾害预警, 类别, 高海拔高温灾害预判, 连续预测天数, 预警指标, 高海拔区域热浪的灾害链预警, 可能引发山区洪水, 定位山区河道沿线区域, 通过, 标题, Next_Tmax, 30℃, 加强山区水文监测, 科学依据, 米区域热浪期间, 积雪融化加速, 泥石流等次生灾害","DEM, Next_Tmax, lat, lon",DEM≥2000 米 + Next_Tmax≥30℃+ 连续预测天数≥3 天；通过 lat/lon 定位山区河道沿线区域,加强山区水文监测，向沿线居民发布次生灾害预警，组织开展隐患点排查与转移避险准备
KNOW_551d7d2f,热浪预警信息精准推送,基于经纬度的靶向预警信息分发,高温热浪的影响具有显著空间异质性，通过 lat/lon 精准定位受影响区域，可避免预警信息泛化，提高防护资源利用效率,"应对措施, 热浪预警信息精准推送, 通过手机定位向预警网格内用户推送精准预警信息, 类别, 高温热浪的影响具有显著空间异质性, 重点标注就近降温场所与医疗急救点位置, 预警指标, 可避免预警信息泛化, 划分预警网格, 提高防护资源利用效率, Present_Tmax, 标签激活, 通过, 标题, 精准定位受影响区域, 基于经纬度的靶向预警信息分发, 35℃, 科学依据, 识别网格内人口密度与关键设施分布","heatwave, lat, lon, Present_Tmax",heatwave 标签激活 + Present_Tmax≥35℃；按 lat/lon 划分预警网格，识别网格内人口密度与关键设施分布,通过手机定位向预警网格内用户推送精准预警信息，重点标注就近降温场所与医疗急救点位置
KNOW_889b1c20,热浪期间电力保障预警,高温负荷与热浪的电力供需预警,Present_Tmax≥36℃时，空调等降温设备使用率激增，区域电力负荷将达到峰值，易引发供电紧张或故障，需提前调度电力资源,"暂停非必要工业用电, 36℃, 定位城市高负荷区域, 应对措施, 类别, 预警指标, 高温负荷与热浪的电力供需预警, 空调等降温设备使用率激增, 需提前调度电力资源, 历史同期, 检修供电线路隐患, 区域电力负荷将达到峰值, 标签激活, 热浪期间电力保障预警, 易引发供电紧张或故障, Present_Tmax, 通过, 标题, 90%, 预测日均用电负荷, 科学依据, 启动电力负荷错峰预案, 对高负荷区域优先保障居民用电","Present_Tmax, urban_heat_island, lat, lon",urban_heat_island 标签激活 + Present_Tmax≥36℃+ 预测日均用电负荷≥历史同期 90%；通过 lat/lon 定位城市高负荷区域,启动电力负荷错峰预案，对高负荷区域优先保障居民用电，暂停非必要工业用电，检修供电线路隐患
KNOW_5dbe9c49,热浪防护时段优化,基于当日最高温出现时段的防护安排,Present_Tmax 通常出现在 13:00-16:00，该时段太阳辐射最强、地表热量累积最多，是热应激风险最高的时段，需重点规避,"且当日最高温出现时段为, 确保室内降温环境, 是热应激风险最高的时段, 应对措施, 调整户外作业时间为, 基于当日最高温出现时段的防护安排, 热浪防护时段优化, 类别, 预警指标, 地表热量累积最多, Present_Tmax, 通过, 标题, 通常出现在, 该时段太阳辐射最强, 35℃, 科学依据, 需重点规避, 强制安排休息, 确认该时段日照强烈区域","Present_Tmax, lat, lon",Present_Tmax≥35℃，且当日最高温出现时段为 13:00-16:00；通过 lat/lon 确认该时段日照强烈区域,调整户外作业时间为 6:00-11:00 和 17:00 后，13:00-16:00 强制安排休息，确保室内降温环境
KNOW_ae5dd2f9,热浪与空气质量协同防护,高温热浪与低湿度下的空气质量预警,LDAPS_RHmin≤35%+Present_Tmax≥35℃时，大气扩散条件差，污染物易累积，高温与空气污染叠加将加重呼吸系统负担,"污染物易累积, 大气扩散条件差, 应对措施, 35%, 热浪与空气质量协同防护, 类别, 高温与空气污染叠加将加重呼吸系统负担, LDAPS_RHmin, AQI, 预警指标, 建议居民减少外出, 锁定污染与高温叠加区域, 高温双重预警, 高温热浪与低湿度下的空气质量预警, Present_Tmax, 通过, 室内开启空气净化与降温设备, 标题, 向叠加区域发布空气重污染, 区域空气质量指数, 佩戴防霾防晒一体装备, 35℃, 科学依据","Present_Tmax, LDAPS_RHmin, lat, lon",Present_Tmax≥35℃+LDAPS_RHmin≤35%+ 区域空气质量指数（AQI）≥150；通过 lat/lon 锁定污染与高温叠加区域,向叠加区域发布空气重污染 + 高温双重预警，建议居民减少外出，佩戴防霾防晒一体装备，室内开启空气净化与降温设备
KNOW_9150bd51,热浪应急物资调配,基于预测数据的应急物资前置调配,Next_Tmax≥38℃且连续天数≥3 天时，降温物资（如饮用水、冰袋、防暑药品）需求将急剧增加，提前调配可避免供应短缺,"向重点区域前置调配足量降温物资, 冰袋, 如饮用水, 38℃, 应对措施, 提前调配可避免供应短缺, 标签与, 类别, 优先配送至养老院, 学校, 连续预测天数, 预警指标, 且连续天数, 建立物资补给绿色通道, 热浪应急物资调配, 防暑药品, 医院等人员密集场所, 确定物资重点投放区域, 标题, 降温物资, 基于预测数据的应急物资前置调配, 需求将急剧增加, 结合, 科学依据, 天时, Next_Tmax","Next_Tmax, lat, lon, urban_heat_island",Next_Tmax≥38℃+ 连续预测天数≥3 天；结合 urban_heat_island 标签与 lat/lon 确定物资重点投放区域,向重点区域前置调配足量降温物资，优先配送至养老院、学校、医院等人员密集场所，建立物资补给绿色通道
KNOW_111e3588,热浪结束判定与后续防护,热浪结束后的余热防护提示,热浪结束后（Present_Tmax<35℃且连续 2 天），地表与建筑仍存在余热累积，人体热适应状态尚未恢复，仍需保持基础防护,"继续发布余热防护提示, 地表与建筑仍存在余热累积, 避免突然停止降温措施, 逐步恢复正常户外活动强度, 仍需保持基础防护, 应对措施, 人体热适应状态尚未恢复, 提醒居民仍需保持补水习惯, 类别, 32℃, 标签激活记录, 预警指标, 热浪结束判定与后续防护, 热浪结束后, 且连续, 确认余热影响区域, Present_Tmax, 热浪结束后的余热防护提示, 通过, 标题, 天内有, 35℃, 科学依据","Present_Tmax, lat, lon",Present_Tmax<35℃但≥32℃+ 前 7 天内有 heatwave 标签激活记录；通过 lat/lon 确认余热影响区域,继续发布余热防护提示，避免突然停止降温措施，提醒居民仍需保持补水习惯，逐步恢复正常户外活动强度
KNOW_d4c24a2d,特殊人群热浪精准防护,基于经纬度与高温数据的特殊人群保障,老年人、婴幼儿、慢性病患者等特殊人群热耐受能力弱，在 Present_Tmax≥35℃环境下，热相关死亡率是普通人群的 3-5 倍，需精准保障,"基于经纬度与高温数据的特殊人群保障, 提供定制化防暑指导与物资支持, 热相关死亡率是普通人群的, 婴幼儿, 应对措施, 慢性病患者等特殊人群热耐受能力弱, 类别, 幼儿园, 预警指标, 老年人, 环境下, 对特殊场所开展专项降温保障, 定位养老院, Present_Tmax, 通过, 标题, 安排专人上门巡查健康状况, 慢性病医院等特殊场所分布, 35℃, 科学依据, 特殊人群热浪精准防护, 需精准保障","Present_Tmax, lat, lon, urban_heat_island",Present_Tmax≥35℃；通过 lat/lon 定位养老院、幼儿园、慢性病医院等特殊场所分布,对特殊场所开展专项降温保障，安排专人上门巡查健康状况，提供定制化防暑指导与物资支持
KNOW_3dde79b3,湿度梯度热浪风险,精细化湿度区间的热浪热应激分级,LDAPS_RHmin 在不同区间对人体散热的抑制作用存在显著差异，结合 Present_Tmax 可精准划分热应激风险等级，避免单一湿度阈值的局限性,"精细化湿度区间的热浪热应激分级, 应对措施, 35%, 避免单一湿度阈值的局限性, 37℃, 39℃, 类别, LDAPS_RHmin, 低风险时常规补水, 预警指标, 湿度梯度热浪风险, 25%, 在不同区间对人体散热的抑制作用存在显著差异, 中风险时每小时补水, Present_Tmax, 高风险, 标题, 中风险, 高风险时佩戴降温冰袋, 45%, 结合, 35℃, 科学依据, 分钟内, 可精准划分热应激风险等级, 缩短单次户外停留时间至, 低风险","Present_Tmax, LDAPS_RHmin",低风险：35℃≤Present_Tmax<37℃+35%<LDAPS_RHmin≤45%；中风险：37℃≤Present_Tmax<39℃+25%<LDAPS_RHmin≤35%；高风险：Present_Tmax≥39℃+LDAPS_RHmin≤25%,低风险时常规补水；中风险时每小时补水 200ml；高风险时佩戴降温冰袋，缩短单次户外停留时间至 15 分钟内
KNOW_a6eab6b2,昼夜温差热浪持续预警,昼夜温差小的热浪延续性判定,当 Present_Tmax≥35℃且夜间最低温≥28℃（间接通过 Present_Tmax 与降温幅度推导）时，地表与大气余热无法有效散发，次日 Next_Tmax 大概率维持高温，热浪易持续升级,"次日, 向居民推送夜间通风降温指导, 地表与大气余热无法有效散发, 36℃, 与降温幅度推导, 应对措施, 大概率维持高温, 28℃, 类别, 昼夜温差热浪持续预警, 间接通过, 预警指标, 昼夜温差小的热浪延续性判定, 夜间预测最低温, 7℃, 延长夜间降温设施运行时间, 企业提前调整次日户外作业计划, 热浪易持续升级, Present_Tmax, 标题, 且夜间最低温, 35℃, 科学依据, Next_Tmax","Present_Tmax, Next_Tmax, lat, lon",Present_Tmax≥35℃+（Present_Tmax - 夜间预测最低温）≤7℃；Next_Tmax≥36℃,延长夜间降温设施运行时间，向居民推送夜间通风降温指导，企业提前调整次日户外作业计划
KNOW_cd6617bb,中海拔热浪防护,中海拔区域（800-1500 米）热浪专项防护,DEM 800-1500 米区域兼具一定紫外线强度与高温累积效应，人体热适应能力介于平原与高海拔之间，易因防护不足引发热疲劳,"中海拔热浪防护, 定位中海拔城镇与交通干线, 米区域兼具一定紫外线强度与高温累积效应, DEM, 易因防护不足引发热疲劳, 应对措施, 在中海拔公路服务区增设降温休息区, 类别, 33℃, 人体热适应能力介于平原与高海拔之间, 热浪专项防护, 预警指标, 中海拔区域, Present_Tmax, 标题, 结合, 科学依据, 指导户外劳作时交替进行遮阳与作业, 向当地居民发放轻薄防晒衣物","DEM, Present_Tmax, lat, lon",800m≤DEM<1500m+Present_Tmax≥33℃；结合 lat/lon 定位中海拔城镇与交通干线,在中海拔公路服务区增设降温休息区，向当地居民发放轻薄防晒衣物，指导户外劳作时交替进行遮阳与作业
KNOW_420410ea,高原城市热岛叠加预警,高海拔城市热岛与热浪的协同风险,DEM≥1500 米的城市（如西宁、丽江），urban_heat_island 效应使城区气温较郊区偏高 1.5-3℃，与热浪叠加后，高温 + 强紫外线 + 低氧环境形成复合风险,"低氧环境形成复合风险, 医院加装紫外线过滤窗, 锁定高原城市核心区, 与热浪叠加后, DEM, 3℃, 应对措施, 在高原城市核心区配备制氧, 效应使城区气温较郊区偏高, 类别, 32℃, 养老院, 如西宁, 丽江, 米的城市, 高原城市热岛叠加预警, 小时户外剧烈活动, 预警指标, 限制午后, Present_Tmax, 标签激活, 高温, 降温一体化设施, 通过, 标题, 强紫外线, 高海拔城市热岛与热浪的协同风险, 科学依据","DEM, urban_heat_island, Present_Tmax, lat, lon",DEM≥1500m+urban_heat_island 标签激活 + Present_Tmax≥32℃；通过 lat/lon 锁定高原城市核心区,在高原城市核心区配备制氧 + 降温一体化设施，养老院、医院加装紫外线过滤窗，限制午后 2 小时户外剧烈活动
KNOW_5ddd3367,热浪交通运营安全,高温热浪下的道路交通安全预警,Present_Tmax≥38℃时，沥青路面温度可达 60℃以上，轮胎摩擦系数下降，车辆爆胎风险升高；同时高温易导致驾驶员注意力不集中,"同时高温易导致驾驶员注意力不集中, 日间通行风险, 车辆爆胎风险升高, 以上, 38℃, 应对措施, 次日早高峰预热风险, 60℃, 37℃, 高温热浪下的道路交通安全预警, 类别, 轮胎摩擦系数下降, 物流企业调整运输时段避开午后高温, 发布驾驶员高温防疲劳提示, 城市快速路, 预警指标, Present_Tmax, 热浪交通运营安全, 通过, 标题, 定位高速公路, 对重点路段进行洒水降温, 科学依据, Next_Tmax, 沥青路面温度可达","Present_Tmax, Next_Tmax, lat, lon",Present_Tmax≥38℃（日间通行风险）；Next_Tmax≥37℃（次日早高峰预热风险）；通过 lat/lon 定位高速公路、城市快速路,对重点路段进行洒水降温，发布驾驶员高温防疲劳提示，物流企业调整运输时段避开午后高温
KNOW_d3e235ed,儿童热浪精准防护,婴幼儿与学龄儿童的热浪专项保障,儿童体温调节系统尚未发育完全，在 Present_Tmax≥35℃环境下，热射病发病率是成人的 2.8 倍，尤其在 urban_heat_island 区域风险更高,"区域风险更高, 学校暂停高温时段户外活动, 应对措施, 婴幼儿与学龄儿童的热浪专项保障, 定位幼儿园, 小学, 儿童热浪精准防护, 类别, 向家长推送儿童专用防暑药品使用指南, 尤其在, 预警指标, 环境下, 儿童体温调节系统尚未发育完全, 儿童乐园等儿童密集区域, Present_Tmax, 通过, 标题, 热射病发病率是成人的, 35℃, 科学依据, 幼儿园增加午睡期间降温措施","Present_Tmax, urban_heat_island, lat, lon",Present_Tmax≥35℃；通过 lat/lon 定位幼儿园、小学、儿童乐园等儿童密集区域,学校暂停高温时段户外活动，幼儿园增加午睡期间降温措施，向家长推送儿童专用防暑药品使用指南
KNOW_e4248e90,孕妇热浪健康预警,妊娠期女性的热浪热应激防护,孕妇新陈代谢率高于普通人群，Present_Tmax≥34℃时，热应激易引发妊娠期高血压、胎儿宫内发育迟缓等问题，LDAPS_RHmin≤40% 时风险加倍,"34℃, 孕妇集中居住社区, 胎儿宫内发育迟缓等问题, 应对措施, 40%, 妇幼保健院开设高温专科门诊, 类别, LDAPS_RHmin, 预警指标, 孕妇新陈代谢率高于普通人群, 55%, 社区为孕妇提供上门降温物资配送, Present_Tmax, 热应激易引发妊娠期高血压, 通过, 标题, 孕妇热浪健康预警, 定位妇幼保健院, 时风险加倍, 科学依据, 建议孕妇减少外出并保持室内湿度, 妊娠期女性的热浪热应激防护","Present_Tmax, LDAPS_RHmin, lat, lon",Present_Tmax≥34℃+LDAPS_RHmin≤40%；通过 lat/lon 定位妇幼保健院、孕妇集中居住社区,妇幼保健院开设高温专科门诊，社区为孕妇提供上门降温物资配送，建议孕妇减少外出并保持室内湿度 45-55%
KNOW_9379cbbc,工业区热浪强化预警,工业热源与热浪的叠加风险防控,工业区存在工业余热排放，与热浪叠加后，局部区域 Present_Tmax 较周边偏高 3-4℃，同时 LDAPS_RHmin 更低，热相关工伤风险显著上升,"局部区域, 与热浪叠加后, 36℃, 定位工业园区, 应对措施, 工业区存在工业余热排放, 工业热源与热浪的叠加风险防控, 38%, 类别, 在车间加装强制通风降温设备, LDAPS_RHmin, 预警指标, 4℃, 避开, 制造业聚集区, 更低, 较周边偏高, Present_Tmax, 通过, 标题, 工业区热浪强化预警, 工业区实行错峰生产, 科学依据, 同时, 定期检测工人热耐受状态, 热相关工伤风险显著上升","Present_Tmax, LDAPS_RHmin, lat, lon",Present_Tmax≥36℃+LDAPS_RHmin≤38%；通过 lat/lon 定位工业园区、制造业聚集区,工业区实行错峰生产（避开 12:00-15:00），在车间加装强制通风降温设备，定期检测工人热耐受状态
KNOW_ee024692,低绿化区域热浪预警,绿化覆盖率低区域的热浪强化防护,绿化覆盖率低的区域（通过 lat/lon 关联土地利用数据）缺乏植被降温作用，与 urban_heat_island 效应叠加后，高温累积速度快，人体热舒适度极差,"缺乏植被降温作用, 应对措施, 类别, 人体热舒适度极差, 关联土地利用数据, 锁定城中村, 开放周边有绿化的公园作为临时降温场所, 预警指标, 效应叠加后, 老旧无绿化小区, Present_Tmax, 标签激活, 通过, 标题, 低绿化区域热浪预警, 35℃, 科学依据, 高温累积速度快, 绿化覆盖率低区域的热浪强化防护, 在低绿化区域临时布设移动绿化盆栽与喷淋装置, 绿化覆盖率低的区域","Present_Tmax, urban_heat_island, lat, lon",urban_heat_island 标签激活 + Present_Tmax≥35℃；通过 lat/lon 锁定城中村、老旧无绿化小区,在低绿化区域临时布设移动绿化盆栽与喷淋装置，开放周边有绿化的公园作为临时降温场所
KNOW_c16a49c1,室内高温防护预警,无空调设施区域的室内热浪防护,Present_Tmax≥37℃时，无空调的密闭室内温度可达 40℃以上，尤其老年独居家庭、老旧建筑，热射病风险远高于有降温设施的区域,"图书馆等公共降温场所, 40℃, 以上, 尤其老年独居家庭, 无空调的密闭室内温度可达, 应对措施, 37℃, 类别, 老旧建筑, 定位老旧小区, 热射病风险远高于有降温设施的区域, 预警指标, 无空调设施区域的室内热浪防护, 室内高温防护预警, 提供临时安置服务, Present_Tmax, 标签激活, 开放社区活动室, 通过, 标题, 组织志愿者为独居老人上门送清凉, 廉租房聚集区, 科学依据","Present_Tmax, lat, lon, urban_heat_island",urban_heat_island 标签激活 + Present_Tmax≥37℃；通过 lat/lon 定位老旧小区、廉租房聚集区,开放社区活动室、图书馆等公共降温场所，组织志愿者为独居老人上门送清凉，提供临时安置服务
